model_name,gpu_count,cs,dataset,input_len,output_len,impl,requests_per_sec,total_tokens_per_sec,output_tokens_per_sec,total_prompt_tokens,total_output_tokens
Llama-3.3-70B-Instruct,8,1024,random,512,128,no_ar,30.88,19765.42,3953.08,512000,128000
Llama-3.3-70B-Instruct,8,1024,random,512,128,baseline_multimem,24.83,15889.95,3177.99,512000,128000
Llama-3.3-70B-Instruct,8,1024,random,512,128,overlap_fused,29.54,18908.29,3781.66,512000,128000
Llama-3.3-70B-Instruct,8,2048,random,512,128,no_ar,34.29,21946.05,4389.21,512000,128000
Llama-3.3-70B-Instruct,8,2048,random,512,128,baseline_multimem,27.66,17703.25,3540.65,512000,128000
Llama-3.3-70B-Instruct,8,2048,random,512,128,overlap_fused,33.26,21287.89,4257.58,512000,128000
Llama-3.3-70B-Instruct,8,4096,random,512,128,no_ar,36.65,23456.92,4691.38,512000,128000
Llama-3.3-70B-Instruct,8,4096,random,512,128,baseline_multimem,29.78,19061.21,3812.24,512000,128000
Llama-3.3-70B-Instruct,8,4096,random,512,128,overlap_fused,36.68,23472.64,4694.53,512000,128000
Llama-3.3-70B-Instruct,8,8192,random,512,128,no_ar,39.24,25115.23,5023.05,512000,128000
Llama-3.3-70B-Instruct,8,8192,random,512,128,baseline_multimem,31.98,20468.87,4093.77,512000,128000
Llama-3.3-70B-Instruct,8,8192,random,512,128,overlap_fused,39.01,24966.84,4993.37,512000,128000
Llama-3.3-70B-Instruct,8,1024,random,1024,128,no_ar,17.99,20722.94,2302.55,1024000,128000
Llama-3.3-70B-Instruct,8,1024,random,1024,128,baseline_multimem,14.43,16621.90,1846.88,1024000,128000
Llama-3.3-70B-Instruct,8,1024,random,1024,128,overlap_fused,17.34,19979.69,2219.97,1024000,128000
Llama-3.3-70B-Instruct,8,2048,random,1024,128,no_ar,19.47,22433.21,2492.58,1024000,128000
Llama-3.3-70B-Instruct,8,2048,random,1024,128,baseline_multimem,15.64,18011.59,2001.29,1024000,128000
Llama-3.3-70B-Instruct,8,2048,random,1024,128,overlap_fused,19.41,22356.96,2484.11,1024000,128000
Llama-3.3-70B-Instruct,8,4096,random,1024,128,no_ar,20.54,23658.16,2628.68,1024000,128000
Llama-3.3-70B-Instruct,8,4096,random,1024,128,baseline_multimem,16.64,19167.00,2129.67,1024000,128000
Llama-3.3-70B-Instruct,8,4096,random,1024,128,overlap_fused,20.89,24070.58,2674.51,1024000,128000
Llama-3.3-70B-Instruct,8,8192,random,1024,128,no_ar,21.65,24939.07,2771.01,1024000,128000
Llama-3.3-70B-Instruct,8,8192,random,1024,128,baseline_multimem,17.69,20373.51,2263.72,1024000,128000
Llama-3.3-70B-Instruct,8,8192,random,1024,128,overlap_fused,22.11,25470.97,2830.11,1024000,128000
Llama-3.3-70B-Instruct,8,1024,random,2048,128,no_ar,9.94,21627.95,1272.23,2048000,128000
Llama-3.3-70B-Instruct,8,1024,random,2048,128,baseline_multimem,7.93,17247.07,1014.53,2048000,128000
Llama-3.3-70B-Instruct,8,1024,random,2048,128,overlap_fused,9.51,20696.93,1217.47,2048000,128000
Llama-3.3-70B-Instruct,8,2048,random,2048,128,no_ar,11.14,24248.82,1426.40,2048000,128000
Llama-3.3-70B-Instruct,8,2048,random,2048,128,baseline_multimem,8.93,19432.24,1143.07,2048000,128000
Llama-3.3-70B-Instruct,8,2048,random,2048,128,overlap_fused,10.77,23429.16,1378.19,2048000,128000
Llama-3.3-70B-Instruct,8,4096,random,2048,128,no_ar,12.22,26600.22,1564.72,2048000,128000
Llama-3.3-70B-Instruct,8,4096,random,2048,128,baseline_multimem,10.04,21844.70,1284.98,2048000,128000
Llama-3.3-70B-Instruct,8,4096,random,2048,128,overlap_fused,11.78,25625.44,1507.38,2048000,128000
Llama-3.3-70B-Instruct,8,8192,random,2048,128,no_ar,12.64,27495.24,1617.37,2048000,128000
Llama-3.3-70B-Instruct,8,8192,random,2048,128,baseline_multimem,10.39,22604.73,1329.69,2048000,128000
Llama-3.3-70B-Instruct,8,8192,random,2048,128,overlap_fused,13.07,28446.36,1673.32,2048000,128000
Llama-3.3-70B-Instruct,8,1024,sharegpt,,,no_ar,32.55,13460.86,6456.14,215196,198343
Llama-3.3-70B-Instruct,8,1024,sharegpt,,,baseline_multimem,26.18,10826.63,5192.71,215196,198343
Llama-3.3-70B-Instruct,8,1024,sharegpt,,,overlap_fused,31.18,12894.28,6184.40,215196,198343
Llama-3.3-70B-Instruct,8,2048,sharegpt,,,no_ar,34.34,14200.43,6810.86,215196,198343
Llama-3.3-70B-Instruct,8,2048,sharegpt,,,baseline_multimem,27.63,11425.55,5479.96,215196,198343
Llama-3.3-70B-Instruct,8,2048,sharegpt,,,overlap_fused,32.30,13357.09,6406.37,215196,198343
Llama-3.3-70B-Instruct,8,4096,sharegpt,,,no_ar,35.66,14747.43,7073.21,215196,198343
Llama-3.3-70B-Instruct,8,4096,sharegpt,,,baseline_multimem,28.65,11849.26,5683.18,215196,198343
Llama-3.3-70B-Instruct,8,4096,sharegpt,,,overlap_fused,33.29,13768.33,6603.61,215196,198343
Llama-3.3-70B-Instruct,8,8192,sharegpt,,,no_ar,36.36,15037.29,7212.24,215196,198343
Llama-3.3-70B-Instruct,8,8192,sharegpt,,,baseline_multimem,29.15,12055.08,5781.90,215196,198343
Llama-3.3-70B-Instruct,8,8192,sharegpt,,,overlap_fused,33.72,13945.83,6688.75,215196,198343
