model_name,gpu_count,impl,prompt_len,avg_latency(ms)
Llama-3.3-70B-Instruct,8,baseline_multimem,1024,53.50100997214516
Llama-3.3-70B-Instruct,8,baseline_multimem,2048,93.77450309693813
Llama-3.3-70B-Instruct,8,baseline_multimem,4096,179.0852223522961
Llama-3.3-70B-Instruct,8,baseline_multimem,8192,354.8899940215051
Llama-3.3-70B-Instruct,8,baseline_multimem,16384,734.0121349319816
Llama-3.3-70B-Instruct,8,baseline_multimem,32768,1621.1562501577039
Llama-3.3-70B-Instruct,8,baseline_multimem,65536,3887.034681532532
Llama-3.3-70B-Instruct,8,no_ar,1024,41.570035523424544
Llama-3.3-70B-Instruct,8,no_ar,2048,74.28692135338981
Llama-3.3-70B-Instruct,8,no_ar,4096,144.54051358625293
Llama-3.3-70B-Instruct,8,no_ar,8192,289.740008333077
Llama-3.3-70B-Instruct,8,no_ar,16384,611.7194185033441
Llama-3.3-70B-Instruct,8,no_ar,32768,1374.093747480462
Llama-3.3-70B-Instruct,8,no_ar,65536,3345.452730295559
Llama-3.3-70B-Instruct,8,overlap_fused,1024,45.73305301989118
Llama-3.3-70B-Instruct,8,overlap_fused,2048,75.8468541316688
Llama-3.3-70B-Instruct,8,overlap_fused,4096,141.0492004826665
Llama-3.3-70B-Instruct,8,overlap_fused,8192,277.5525868559877
Llama-3.3-70B-Instruct,8,overlap_fused,16384,581.2078727719685
Llama-3.3-70B-Instruct,8,overlap_fused,32768,1311.658075855424
Llama-3.3-70B-Instruct,8,overlap_fused,65536,3244.0960372177265
Llama-3.3-70B-Instruct,4,baseline_multimem,1024,81.89403622721632
Llama-3.3-70B-Instruct,4,baseline_multimem,2048,150.69926856085658
Llama-3.3-70B-Instruct,4,baseline_multimem,4096,295.22479154790443
Llama-3.3-70B-Instruct,4,baseline_multimem,8192,609.8242838867009
Llama-3.3-70B-Instruct,4,baseline_multimem,16384,1290.573563768218
Llama-3.3-70B-Instruct,4,baseline_multimem,32768,2881.3382007802525
Llama-3.3-70B-Instruct,4,baseline_multimem,65536,7061.2594234757125
Llama-3.3-70B-Instruct,4,no_ar,1024,70.6313547367851
Llama-3.3-70B-Instruct,4,no_ar,2048,134.68243336925903
Llama-3.3-70B-Instruct,4,no_ar,4096,262.49700418363017
Llama-3.3-70B-Instruct,4,no_ar,8192,543.9276680350304
Llama-3.3-70B-Instruct,4,no_ar,16384,1155.5178322208424
Llama-3.3-70B-Instruct,4,no_ar,32768,2597.9611264852188
Llama-3.3-70B-Instruct,4,no_ar,65536,6459.391213674098
Llama-3.3-70B-Instruct,4,overlap_fused,1024,72.60858956724405
Llama-3.3-70B-Instruct,4,overlap_fused,2048,136.82104218751192
Llama-3.3-70B-Instruct,4,overlap_fused,4096,261.9725729338825
Llama-3.3-70B-Instruct,4,overlap_fused,8192,529.6459205138186
Llama-3.3-70B-Instruct,4,overlap_fused,16384,1128.5325788582365
Llama-3.3-70B-Instruct,4,overlap_fused,32768,2568.5619910868504
Llama-3.3-70B-Instruct,4,overlap_fused,65536,6380.640284779171
Qwen2.5-72B-Instruct,8,baseline_multimem,1024,54.126839712262154
Qwen2.5-72B-Instruct,8,baseline_multimem,2048,96.80208976690967
Qwen2.5-72B-Instruct,8,baseline_multimem,4096,183.14209769790372
Qwen2.5-72B-Instruct,8,baseline_multimem,8192,355.33799193799496
Qwen2.5-72B-Instruct,8,baseline_multimem,16384,748.5346879810095
Qwen2.5-72B-Instruct,8,baseline_multimem,32768,1651.807141955942
Qwen2.5-72B-Instruct,8,baseline_multimem,65536,3951.3584774918854
Qwen2.5-72B-Instruct,8,no_ar,1024,42.50524413461486
Qwen2.5-72B-Instruct,8,no_ar,2048,77.63925362378359
Qwen2.5-72B-Instruct,8,no_ar,4096,148.68465214967728
Qwen2.5-72B-Instruct,8,no_ar,8192,294.899273570627
Qwen2.5-72B-Instruct,8,no_ar,16384,627.080300077796
Qwen2.5-72B-Instruct,8,no_ar,32768,1400.453574086229
Qwen2.5-72B-Instruct,8,no_ar,65536,3430.447637786468
Qwen2.5-72B-Instruct,8,overlap_fused,1024,47.52642245342334
Qwen2.5-72B-Instruct,8,overlap_fused,2048,78.3484476308028
Qwen2.5-72B-Instruct,8,overlap_fused,4096,146.51465903346738
Qwen2.5-72B-Instruct,8,overlap_fused,8192,287.40386680389446
Qwen2.5-72B-Instruct,8,overlap_fused,16384,605.3364997729659
Qwen2.5-72B-Instruct,8,overlap_fused,32768,1354.0207869062822
Qwen2.5-72B-Instruct,8,overlap_fused,65536,3195.209526270628
Qwen2.5-72B-Instruct,4,baseline_multimem,1024,82.70037584006786
Qwen2.5-72B-Instruct,4,baseline_multimem,2048,155.9504548087716
Qwen2.5-72B-Instruct,4,baseline_multimem,4096,297.72510180870694
Qwen2.5-72B-Instruct,4,baseline_multimem,8192,620.4465753088394
Qwen2.5-72B-Instruct,4,baseline_multimem,16384,1312.0478019739191
Qwen2.5-72B-Instruct,4,baseline_multimem,32768,2932.3953587561846
Qwen2.5-72B-Instruct,4,baseline_multimem,65536,6861.60564624394
Qwen2.5-72B-Instruct,4,no_ar,1024,72.60705356796582
Qwen2.5-72B-Instruct,4,no_ar,2048,139.7508991571764
Qwen2.5-72B-Instruct,4,no_ar,4096,265.7478184439242
Qwen2.5-72B-Instruct,4,no_ar,8192,556.8982876526812
Qwen2.5-72B-Instruct,4,no_ar,16384,1181.051736914863
Qwen2.5-72B-Instruct,4,no_ar,32768,2660.958102097114
Qwen2.5-72B-Instruct,4,no_ar,65536,6296.291124044607
Qwen2.5-72B-Instruct,4,overlap_fused,1024,74.35268101592858
Qwen2.5-72B-Instruct,4,overlap_fused,2048,139.9759603353838
Qwen2.5-72B-Instruct,4,overlap_fused,4096,271.8594708479941
Qwen2.5-72B-Instruct,4,overlap_fused,8192,536.2055734420816
Qwen2.5-72B-Instruct,4,overlap_fused,16384,1159.9308588231604
Qwen2.5-72B-Instruct,4,overlap_fused,32768,2636.8139412564537
Qwen2.5-72B-Instruct,4,overlap_fused,65536,6487.841707840562
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,1024,42.656798319270216
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,2048,67.59878511851032
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,4096,120.18565290297072
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,8192,228.80353291208544
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,16384,466.92467654744786
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,32768,1008.0706826411188
Mixtral-8x22B-Instruct-v0.1,8,baseline_multimem,65536,2348.804465153565
Mixtral-8x22B-Instruct-v0.1,8,no_ar,1024,36.14061946670214
Mixtral-8x22B-Instruct-v0.1,8,no_ar,2048,56.55713466306528
Mixtral-8x22B-Instruct-v0.1,8,no_ar,4096,101.83967625101407
Mixtral-8x22B-Instruct-v0.1,8,no_ar,8192,196.40362539018193
Mixtral-8x22B-Instruct-v0.1,8,no_ar,16384,406.00929511711
Mixtral-8x22B-Instruct-v0.1,8,no_ar,32768,901.5204837856194
Mixtral-8x22B-Instruct-v0.1,8,no_ar,65536,2119.652798244109
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,1024,69.36428065722187
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,2048,69.76188654080033
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,4096,106.37359591200948
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,8192,196.50630404551825
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,16384,393.52871685599285
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,32768,859.3747709567348
Mixtral-8x22B-Instruct-v0.1,8,overlap_fused,65536,2064.327975548804
